paramID	id	dbh	height	CR	perc_exposed
9	135320	0.15	22.17	1.99	40
9	134057	0.34	26.7	4.24	75
9	134056	0.24	26.49	3.4	43.48
9	226733	0.1	18.94	2.16	0
9	81908	0.14	18.27	2.34	44.44
9	92157	0.32	35.66	4.78	17.78
9	92156	0.52	39.01	4.62	100
9	171715	0.11	19.96	2.07	0
9	134055	0.23	25.42	3.44	67.57
9	134218	0.19	21.28	2.4	0
9	93440	0.19	20.26	2.69	11.11
9	180463	0.11	21.65	2.62	0
9	182121	0.18	26.92	3.9	56.41
9	87416	0.14	20.54	1.66	0
9	226002	0.11	21.27	2.67	0
9	92158	0.25	28.04	3.95	15.22
9	179239	0.12	15.06	1.5	0
9	135463	0.26	24.84	2.22	100
9	135464	0.12	17.92	1.3	0
9	75422	0.19	25.16	2.11	0
9	81906	0.22	24.09	1.68	0
9	81726	0.31	30.07	5.65	82.81
9	86092	0.12	17.84	1.63	0
9	181052	0.16	24.4	3.59	47.37
9	93650	0.14	23.18	4.32	78.05
9	93435	0.29	22.78	3.35	18.18
9	93647	0.18	22.57	2.01	50
9	134216	0.41	29	3.53	94.87
9	76948	0.16	23.29	2.35	0
9	86090	0.25	24.64	3.02	10.71
9	135325	0.26	25.77	3.7	65.12
9	203778	0.11	19.32	2.23	0
9	180711	0.16	22.71	3.6	95
9	86088	0.14	22.54	2.1	0
9	86091	0.17	24.9	2.39	0
9	87345	0.12	18.48	1.28	0
9	86223	0.36	27.32	2.94	0
9	87189	0.18	22.96	2.71	25
9	135311	0.19	21.35	3.91	0
9	135313	0.22	25.29	4.79	85.42
9	134214	0.18	26.36	2.27	31.25
9	134222	0.39	32.81	5.16	33.33
9	134223	0.12	21.25	2.06	0
9	92295	0.27	26.37	3.64	90.24
9	236532	0.12	19.09	1.4	66.67
9	135110	0.33	22.9	3.04	20.69
9	134225	0.17	25.4	3.46	0
9	134224	0.45	36.29	4.29	95.35
9	173090	0.14	27.17	3.67	69.05
9	76976	0.25	26.58	2.89	0
9	81825	0.41	29.69	2.67	40.91
9	80951	0.28	30.68	3.69	83.33
9	80956	0.29	34.28	5.83	81.16
9	80957	0.19	28.78	2.3	0
9	86950	0.32	28.78	4.54	65.62
9	87187	0.18	17.53	2.93	0
9	173242	0.13	21.94	2.87	0
9	180824	0.12	19.09	1.35	0
9	93648	0.12	19.05	2.03	0
9	135045	0.25	24.06	3.9	36.17
9	135160	0.31	25.28	5.32	70.79
9	76953	0.12	20.58	2.41	0
9	180603	0.12	21.04	2.04	0
9	183725	0.11	19.67	2.32	0
9	81722	0.27	32.88	4.03	36.84
9	87268	0.19	20.54	2.03	0
9	86221	0.58	24.41	3.57	0
9	86874	0.46	38.82	3.41	100
9	173320	0.14	20.23	3.27	6.06
9	93421	0.28	24.8	4.61	53.57
9	92446	0.27	30.56	2.53	100
9	184649	0.12	19.69	3.05	0
9	182112	0.14	21.33	1.79	0
9	134221	0.24	25.22	3.37	65.71
9	135163	0.36	25.39	2.99	0
9	134226	0.11	19.56	2.03	0
9	75273	0.14	22.9	2.89	100
9	80950	0.2	23.41	3.29	26.47
9	81724	0.21	28.07	2.08	15.38
9	86220	0.34	29.76	3.31	76.47
9	86224	0.41	29.44	3.78	86.36
9	87460	0.11	16.42	2.2	0
9	87086	0.18	23.11	2.94	0
9	92161	0.22	26.21	3.82	95.56
9	93763	0.14	19.79	2.28	6.25
9	179692	0.11	16.55	1.14	0
9	183979	0.11	17.49	1.64	0
9	93239	0.18	22.04	1.96	8.33
9	93533	0.4	28.64	5.94	77.78
9	135497	0.18	24.9	3.25	66.67
9	134213	0.17	22.17	1.46	0
9	134228	0.42	32.48	4.81	63.89
9	134227	0.12	20.49	1.96	0
9	75272	0.15	20.18	2.01	75
9	225779	0.11	17.83	1.96	50
9	76993	0.18	29.36	3.34	0
9	76391	0.13	21.11	1.98	0
9	81794	0.31	21.44	4.92	36.84
9	81909	0.16	28.98	3.22	59.38
9	81096	0.23	31.6	2.79	0
9	86093	0.16	22.75	2.45	11.11
9	87188	0.15	19.82	2.13	0
9	86225	0.21	24.44	2.64	0
9	87085	0.33	29.6	5.94	91.09
9	92162	0.24	24.51	3.64	39.02
9	93531	0.13	19.65	2.94	40.74
9	92293	0.29	24.97	2.13	0
9	93530	0.14	18.02	2.47	0
9	92300	0.22	26.06	3.51	60.53
9	135326	0.22	24.73	3.51	94.74
9	237308	0.18	28.61	4.32	15.52
9	134404	0.4	29.78	3.29	69.23
9	80958	0.3	32.85	6.24	39.45
9	87088	0.19	22.8	2.02	0
9	87266	0.18	24.01	3.49	0
9	183978	0.12	18.85	2.58	0
9	226006	0.11	13.64	1.49	16.67
9	179240	0.17	20.58	2.96	11.11
9	135317	0.2	24.38	3.21	0
9	135315	0.28	27.26	3.65	58.54
9	135109	0.28	24.56	3.62	70.73
9	182122	0.11	22.29	2.32	0
9	179246	0.11	16.93	2.02	0
9	203020	0.21	21.7	3.63	87.8
9	80807	0.33	31.83	4.02	68.29
9	81662	0.23	27.91	4.32	72.41
9	80959	0.15	23.95	2.79	0
9	81095	0.25	25.73	3.37	0
9	87087	0.25	30.9	3.2	56.25
9	86094	0.21	32.76	3.22	96.88
9	87458	0.13	17.46	2.49	5.26
9	86387	0.22	32.09	2.56	0
9	236531	0.11	16.96	2.35	0
9	179241	0.11	23.04	2.5	15.79
9	174043	0.14	21.34	3.25	0
9	135496	0.15	17.9	1.87	0
9	184639	0.12	19.6	1.47	0
9	75429	0.71	39.84	8.12	86.39
9	180710	0.15	16.69	1.11	0
9	80805	0.31	31.91	3.78	50
9	81094	0.59	35.35	7.41	96.43
9	81617	0.18	22.34	2.54	0
9	86881	0.21	23.89	2.58	0
9	86229	0.24	29.67	2.7	77.27
9	87190	0.15	17.34	2.39	0
9	236413	0.11	19.19	1.54	0
9	93535	0.25	22.98	2.93	73.91
9	135159	0.18	21.47	2.33	0
9	134408	0.2	24.69	1.6	0
9	134406	0.14	22.82	2.15	0
9	135321	0.39	26.25	2.88	0
9	135074	0.16	25.02	1.97	0
9	80806	0.25	31.93	3.33	52.94
9	80960	0.17	19.53	3.69	0
9	86095	0.38	28.4	4.87	75.47
9	86230	0.14	22.32	1.1	0
9	250056	0.11	16.79	1.48	0
9	180855	0.12	18.89	1.78	0
9	87270	0.11	18.76	2.05	15.38
9	92302	0.63	33.75	6.17	78.99
9	92609	0.37	26.48	5.32	93.33
9	93529	0.16	19.74	3.3	0
9	134209	0.28	29.61	3.84	93.48
9	135323	0.18	27.33	3.5	65.79
9	75278	0.18	21.27	2.34	0
9	75274	0.18	25.55	3.31	85.29
9	249644	0.12	24.2	2.4	0
9	75417	0.15	30.56	3.43	0
9	81727	0.36	21.74	4.21	3.64
9	236368	0.11	20.19	1.28	0
9	80961	0.42	33.57	2.77	83.33
9	81213	0.24	32.05	2.91	46.15
9	86219	0.19	23.21	2.6	76.19
9	86234	0.25	23.61	2.4	0
9	92289	0.41	33.07	4.78	56.34
9	93441	0.14	18.3	2.63	0
9	93536	0.23	24.46	3.79	71.11
9	92442	0.22	23.18	2.02	0
9	250165	0.11	19.22	2.1	30.77
9	93212	0.15	19.19	1.82	60
9	203216	0.12	20.22	2.7	0
9	135088	0.36	26.75	2.6	66.67
9	134394	0.25	27.87	3.16	90.32
9	135495	0.12	19.74	3.07	0
9	134410	0.37	31.07	4.48	92.06
9	174045	0.17	23.4	3.28	10
9	135162	0.19	21.75	1.9	0
9	135419	0.1	16.36	1.8	0
9	80964	0.29	31.31	3.97	51.02
9	80962	0.15	23.69	2.5	0
9	81636	0.14	19.31	2.05	0
9	87417	0.12	18.32	1.91	0
9	86097	0.2	25.06	3.4	0
9	86235	0.6	28.27	4.18	48.15
9	86231	0.27	26.59	3.36	34.29
9	236414	0.11	21.76	1.8	0
9	86391	0.14	22.87	1.71	0
9	86521	0.26	34.55	4.1	16.22
9	181055	0.12	17.22	2.32	43.75
9	178576	0.13	19.25	2.5	0
9	92303	0.27	31.11	4.02	30
9	93651	0.13	18.57	2.42	0
9	93539	0.12	20.18	2.41	22.22
9	171716	0.11	14.72	2.03	0
9	134062	0.17	22.68	2.19	86.67
9	135329	0.26	22.11	2.88	26.92
9	135172	0.32	22.96	2.92	0
9	135420	0.11	18.76	2.62	42.86
9	174044	0.14	19.41	1.25	0
9	75419	0.16	22.16	1.65	0
9	183672	0.11	19.99	2.07	0
9	81827	0.49	35.18	3.66	78.57
9	80963	0.13	21.85	2.1	0
9	81105	0.25	29.55	3.46	59.46
9	81101	0.67	32.82	7.59	68.61
9	86236	0.26	28.25	3.29	61.76
9	86384	0.2	28.23	2.6	0
9	87459	0.12	17.39	2.17	0
9	87522	0.23	32.1	4.77	15.69
9	86523	0.19	26.91	2.6	0
9	236530	0.11	16.23	1.39	0
9	93201	0.39	26.65	4.19	81.82
9	92288	0.26	32.22	4.46	41.94
9	93265	0.22	22.49	2.46	0
9	93540	0.28	24.28	3.3	70.59
9	93534	0.17	19.95	2.49	5.26
9	226008	0.18	23.63	2.48	63.16
9	92452	0.13	16.4	1.69	0
9	92613	0.26	23.41	2.32	0
9	226015	0.13	20.97	2.45	0
9	135050	0.4	26.03	3.91	85.42
9	134066	0.17	24.71	2.82	0
9	135328	0.17	21.22	1.9	0
9	172883	0.12	17.98	1.21	0
9	135324	0.23	21.71	3.54	39.29
9	75277	0.18	27.21	2.77	79.17
9	75418	0.55	53.01	7.24	95.73
9	75433	0.16	24.5	1.76	0
9	75430	0.24	27.85	2.54	0
9	178346	0.18	19.62	2.6	47.62
9	178345	0.1	19.08	1.33	20
9	80809	0.22	29.93	3.88	57.45
9	81734	0.16	18.4	2.54	0
9	80965	0.32	30.95	6.16	83.19
9	171462	0.14	22.74	2.85	0
9	81089	0.65	30.09	5.11	56.1
9	81859	0.18	21.22	2.33	0
9	81620	0.15	21.58	3.09	0
9	81621	0.25	25.98	3.98	55.17
9	171540	0.14	25.74	3.64	63.41
9	236415	0.11	17.29	0.72	0
9	86941	0.24	32.59	3.29	0
9	92285	0.19	19.6	2.35	0
9	92286	0.17	23.12	2.98	0
9	93541	0.12	18.26	2.75	0
9	181053	0.1	14.62	2.15	0
9	93538	0.18	26.78	2.78	91.67
9	92611	0.31	29.42	3.41	100
9	92775	0.27	25.92	3.58	69.44
9	93434	0.15	21.63	2.18	0
9	93359	0.13	16.32	1.74	0
9	135161	0.22	21.6	3.2	0
9	179238	0.13	19.49	2.73	0
9	135099	0.13	21.69	2.44	55.56
9	134576	0.25	26.18	2.4	44.44
9	249646	0.21	27.65	5.68	5.94
9	173089	0.18	32.17	3.88	4.26
9	76387	0.29	36.23	4.21	29.09
9	225774	0.13	25.17	2.15	64.29
9	81730	0.33	28.32	4.52	57.81
9	81729	0.16	23.66	3.77	27.27
9	81857	0.17	22.27	1.15	0
9	81860	0.21	30.67	4.18	40.74
9	178487	0.11	20.71	1.99	0
9	87093	0.5	33.36	6.21	84.3
9	86393	0.4	34.33	4.59	27.27
9	87346	0.11	18.5	1.68	0
9	86392	0.63	39.15	5.17	85.71
9	86526	0.32	29.89	5.37	63.46
9	86527	0.16	21.4	1.9	0
9	93765	0.15	23.08	3.35	62.86
9	171719	0.14	19.45	2.91	3.85
9	92284	0.16	23.67	2.05	0
9	226007	0.12	23.31	2.71	39.13
9	92453	0.24	25.16	3.12	96.67
9	93756	0.11	16.41	1.49	0
9	134067	0.26	23.38	3.09	0
9	135330	0.17	22.84	3.6	0
9	184658	0.4	29.38	6.09	86.21
9	135165	0.14	20.26	3.05	17.24
9	135314	0.21	23.38	2.84	0
9	134575	0.22	26.26	3.21	50
9	172885	0.13	23.17	1.76	66.67
9	249643	0.1	18.4	1.94	0
9	76389	0.2	30.77	3.24	12.5
9	81910	0.11	18.99	1.11	0
9	81826	0.27	20.21	3.06	0
9	249944	0.16	25.7	3.38	0
9	81104	0.16	20.76	2.25	0
9	87278	0.11	15.54	2.08	0
9	87223	0.46	32.74	4.55	0
9	250074	0.11	15.17	1.16	0
9	86519	0.39	38.23	5.33	26.97
9	86518	0.62	40.67	4.14	90.57
9	93444	0.17	27.52	2.78	0
9	92434	0.43	30.43	5.12	76.83
9	237307	0.1	18.99	1.43	0
9	134232	0.22	27.49	2.64	57.14
9	135111	0.26	28.55	4.56	63.08
9	135415	0.13	21.84	3.31	61.76
9	135421	0.14	18.59	2.54	0
9	135238	0.16	20.01	2.71	13.04
9	135412	0.18	22.14	1.98	16.67
9	250781	0.1	21.49	1.23	75
9	77069	0.18	22.64	1.88	45.45
9	75413	0.37	43.11	9.16	18.25
9	226928	0.11	20.23	3.16	54.84
9	76563	0.69	40.95	5.9	99.02
9	77092	0.26	35.24	5.21	43.24
9	80815	0.29	30.13	4.17	35.29
9	80814	0.25	28.26	3.08	0
9	81813	0.12	19.71	1.93	0
9	81549	0.22	29.46	3.4	22.22
9	183808	0.11	16.87	2.14	0
9	86099	0.36	27.77	6.37	76.23
9	86214	0.32	24.95	3.24	0
9	86213	0.23	30.28	3.92	95.83
9	86237	0.2	28.07	3.54	48.72
9	86940	0.12	19.44	1.24	0
9	86920	0.16	22.39	2.02	0
9	86517	0.25	22.79	2.16	0
9	86516	0.2	27.78	2.84	12
9	178577	0.21	26.32	4.14	92.45
9	171722	0.11	19.83	2.14	7.14
9	92305	0.17	21.74	2.41	0
9	93652	0.18	20.31	2.68	0
9	250152	0.11	17.31	1.89	0
9	181050	0.18	24.17	2.51	0
9	93437	0.12	22.25	1.62	62.5
9	92777	0.46	30.43	4.48	68.09
9	180462	0.12	20.26	3.57	17.24
9	134073	0.48	28.91	3.89	87.23
9	135020	0.39	27.77	4.2	69.09
9	135459	0.16	22.34	3.16	0
9	135177	0.28	26.3	4.76	53.52
9	135242	0.21	24.96	1.87	0
9	77070	0.16	24.04	2.47	0
9	75432	0.21	27.84	3.15	41.94
9	76388	0.37	37.31	5.87	76.85
9	76392	0.14	21.4	1.92	0
9	76393	0.23	28.36	3.63	78.05
9	171415	0.12	18.33	2.04	0
9	81106	0.34	32.97	5.41	50.55
9	81209	0.2	24.86	3.05	75.86
9	86215	0.2	27.6	3.65	73.17
9	87518	0.11	17.02	2.15	0
9	180825	0.1	15.7	2.03	16.67
9	86239	0.48	29.18	4.75	87.14
9	87096	0.14	20.32	2.03	0
9	86382	0.24	27.59	3.6	25
9	86398	0.13	20.75	2.71	0
9	86515	0.17	20.66	1.93	0
9	86528	0.16	25.17	2.08	0
9	93537	0.27	22.08	2.17	33.33
9	92282	0.22	26.48	2.44	55.56
9	93268	0.26	23.91	3.4	69.44
9	250163	0.1	13.48	1.13	0
9	93532	0.22	26.61	4.42	100
9	171717	0.17	21.03	2.33	0
9	181051	0.1	17.14	1.45	0
9	92779	0.46	33.13	3.8	94.29
9	183970	0.15	22.56	2.4	0
9	135113	0.35	29.11	5.38	95.56
9	203777	0.11	17.58	2.87	0
9	135236	0.3	26.1	4.53	87.5
9	135246	0.19	24.91	1.85	0
9	135244	0.16	24.22	1.93	0
9	203022	0.11	19.16	2.02	16.67
9	81672	0.15	26.03	2.89	0
9	80813	0.27	35.91	5.28	72.41
9	80810	0.23	34.92	5.14	13.25
9	80811	0.18	24.52	2.56	0
9	81739	0.3	24.65	3.16	6.45
9	81360	0.16	23.6	2.61	0
9	86396	0.21	28.76	2.98	25.93
9	87348	0.14	18.94	2.55	0
9	86395	0.38	37.13	4.14	79.25
9	86514	0.36	36.69	4.21	30.91
9	87413	0.35	30.55	5.25	76.71
9	86672	0.37	26.75	4.71	72.5
9	92281	0.2	24.6	1.94	9.09
9	92306	0.3	31.07	3.61	73.17
9	92456	0.13	25.63	2.34	94.12
9	236550	0.13	20.26	1.91	54.55
9	178609	0.18	20.53	2.7	27.27
9	92930	0.14	19.27	1.75	44.44
9	250787	0.11	19.55	2.22	0
9	226744	0.12	19.81	3.72	6.98
9	134231	0.19	25.93	2.34	5.88
